experiment,class_id,name,precision,recall,ap50,ap50_95
YOLO26n@640,0,write,0.6378761201775568,0.8666666666666667,0.8273374492509384,0.5892927589568513
YOLO26n@640,1,read,0.5827125364652099,0.499339538274929,0.5543230971073734,0.38826641117348865
YOLO26n@640,2,lookup,0.7177469346489521,0.8819241982507289,0.8483692411683001,0.6043644352471569
YOLO26n@640,3,turn_head,0.5771977159274043,0.6172839506172839,0.6043645082661183,0.44049348554952045
YOLO26n@640,4,raise_hand,0.7262651591351124,0.73191560877741,0.7660279890358288,0.5465574284303403
YOLO26n@640,5,stand,0.8866095179137158,0.8888888888888888,0.8643010752688172,0.6530850805983127
YOLO26n@640,6,discuss,0.7323617940303936,0.9710469481534835,0.932942057942058,0.7445718958247635
YOLO26s@640,0,write,0.7876642480409525,0.812581170988858,0.8882788328462673,0.6445427193959806
YOLO26s@640,1,read,0.5887149676511896,0.6727272727272727,0.6635422814062836,0.4680761386552767
YOLO26s@640,2,lookup,0.8083555645172659,0.8994169096209913,0.9068532034951619,0.6463964652002326
YOLO26s@640,3,turn_head,0.6631069179865842,0.6666666666666666,0.7223140236812315,0.5453820559267146
YOLO26s@640,4,raise_hand,0.8379845396636839,0.8471935365684302,0.8933934406836037,0.6424783803094333
YOLO26s@640,5,stand,0.6049785761558024,0.6818789826982852,0.7512339743589743,0.5506423446100147
YOLO26s@640,6,discuss,0.8703413440678597,0.967741935483871,0.9288445801707782,0.7482815008519939
YOLO26n@960,0,write,0.8163698016584051,0.762126886608384,0.8203070059948516,0.6073930798818465
YOLO26n@960,1,read,0.5892740597949562,0.6606060606060606,0.6195733048497372,0.4401224362525736
YOLO26n@960,2,lookup,0.7821375983367063,0.8425634939795875,0.870874963050213,0.6268310019168674
YOLO26n@960,3,turn_head,0.6418902711966586,0.691358024691358,0.7250249943435798,0.5336727546912982
YOLO26n@960,4,raise_hand,0.8005390055475688,0.6920017051855365,0.8292720741064116,0.5991697392707407
YOLO26n@960,5,stand,1.0,0.751925903655109,0.9552777777777778,0.6805198412698413
YOLO26n@960,6,discuss,0.8286966140292176,0.967741935483871,0.9598387096774194,0.7704818663209152
